first_name,last_name,company_name,address,city,county,postal,phone1,phone2,email,web,full_name,email_domain,city_length,is_gmail
Evan,Zigomalas,Cap Gemini America,5 Binney St,Abbey Ward,Buckinghamshire,HP11 2AX,01937-864715,01714-737668,evan.zigomalas@gmail.com,http://www.capgeminiamerica.co.uk,Evan Zigomalas,gmail.com,10,True
Charlesetta,Erm,"Cain, John M Esq",5 Hygeia St,Loundsley Green Ward,Derbyshire,S40 4LY,01276-816806,01517-624517,charlesetta_erm@gmail.com,http://www.cainjohnmesq.co.uk,Charlesetta Erm,gmail.com,20,True
Corrinne,Jaret,Sound Vision Corp,2150 Morley St,Dee Ward,Dumfries and Galloway,DG8 7DE,01625-932209,01642-322954,corrinne_jaret@gmail.com,http://www.soundvisioncorp.co.uk,Corrinne Jaret,gmail.com,8,True
Karma,Quarto,J C S Machinery,1 Birkett St,Shard End Ward,West Midlands,B33 0NH,01857-864722,01307-667811,kquarto@gmail.com,http://www.jcsmachinery.co.uk,Karma Quarto,gmail.com,14,True
Milly,Savidge,Bridgeway Plan For Health,129 Alexander Pope St,Franche Ward,Hereford and Worcester,DY11 9BW,01702-725589,01421-132652,milly@gmail.com,http://www.bridgewayplanforhealth.co.uk,Milly Savidge,gmail.com,12,True
Margurite,Loperfido,Penrose Place Pharmacy Inc,218 Greenbank Drive,Devizes,Wiltshire,SN10 3DU,01407-866759,01640-661191,mloperfido@gmail.com,http://www.penroseplacepharmacyinc.co.uk,Margurite Loperfido,gmail.com,7,True
Melina,Orizabal,Sheraton Inn Ocean Front,3 Nevison St,Lymington and Pennington,Hampshire,SO41 1DL,01420-307327,01245-559333,melina@gmail.com,http://www.sheratoninnoceanfront.co.uk,Melina Orizabal,gmail.com,24,True
Tina,Clapham,Cooper Myers Y Co,5662 William Moult St,Aylesbury,Buckinghamshire,HP21 8PP,01567-296442,01493-245349,tclapham@gmail.com,http://www.coopermyersyco.co.uk,Tina Clapham,gmail.com,9,True
Luisa,Devereux,Cash 4 Checks,3 North View #35,Burmantofts and Richmond Hill,West Yorkshire,LS9 7JH,01607-269930,01334-807355,ldevereux@gmail.com,http://www.cashchecks.co.uk,Luisa Devereux,gmail.com,29,True
Alba,Mosseri,"Schwartzbard, Gail L Esq",4 Burnall St,Beeston West Ward,Nottinghamshire,NG9 1AE,01543-198690,01231-806535,alba@gmail.com,http://www.schwartzbardgaillesq.co.uk,Alba Mosseri,gmail.com,17,True
Dustin,Klingaman,Welders Supply,67 Micawber St,Brockley Ward,Greater London,SE14 6RQ,01712-135466,01523-775781,dklingaman@gmail.com,http://www.welderssupply.co.uk,Dustin Klingaman,gmail.com,13,True
Margarett,Bairo,"Reid, Carleton B Esq",3 August Rd,Maybury and Sheerwater Ward,Surrey,GU21 5QL,01670-813697,01903-424890,margarett@gmail.com,http://www.reidcarletonbesq.co.uk,Margarett Bairo,gmail.com,27,True
Sol,Cowser,Omni Mandalay,6448 Tillard St,Conisbrough and Denaby Ward,South Yorkshire,DN12 4JF,01412-528394,01580-134516,sol@gmail.com,http://www.omnimandalay.co.uk,Sol Cowser,gmail.com,27,True
Louann,Smethers,Lba Savings Bank,3055 Creswick St,Newbold and Brownsover Ward,Warwickshire,CV21 1LN,01670-234959,01488-872531,louann@gmail.com,http://www.lbasavingsbank.co.uk,Louann Smethers,gmail.com,27,True
Malika,Hanton,Association Of Art Museum Dir,1175 Greig St,St. Marys Ward,Greater Manchester,M25 0ZN,01532-497454,01705-208145,malika@gmail.com,http://www.associationofartmuseumdir.co.uk,Malika Hanton,gmail.com,14,True
Abraham,Cratch,"Cavuto, John A",41 Benedict St,Aldborough Ward,Greater London,IG2 7QG,01599-245408,01695-305111,acratch@gmail.com,http://www.cavutojohna.co.uk,Abraham Cratch,gmail.com,15,True
Juan,Vanwyhe,Office Service Co,5382 Redfern St,West End Ward,Greater London,W1J 0QH,01961-642757,01728-150282,juan_vanwyhe@gmail.com,http://www.officeserviceco.co.uk,Juan Vanwyhe,gmail.com,13,True
Eva,Joulwan,Central Hrdwr & Elec Corp,7 Lear Rd,Stroud,Hampshire,GU32 3PQ,01779-720349,01961-802899,eva.joulwan@gmail.com,http://www.centralhrdwreleccorp.co.uk,Eva Joulwan,gmail.com,6,True
Jeannetta,Coolidge,Tiny Tots Originals Div,761 Cockerell St #1,Midway Ward,Derbyshire,DE11 0HE,01927-790069,01440-276155,jeannetta_coolidge@gmail.com,http://www.tinytotsoriginalsdiv.co.uk,Jeannetta Coolidge,gmail.com,11,True
Malcom,Fleckles,L Winik & Associates Inc,8764 Nickleby St #877,Govan Ward,Glasgow City,G51 1BQ,01478-110943,01937-120539,malcom.fleckles@gmail.com,http://www.lwinikassociatesinc.co.uk,Malcom Fleckles,gmail.com,10,True
Leota,Fletchen,Rust Evader Corp,8880 Great Howard St #7750,Sefton,Merseyside,L29 7WD,01358-446391,01414-780251,lfletchen@gmail.com,http://www.rustevadercorp.co.uk,Leota Fletchen,gmail.com,6,True
Berry,Gutoski,Budget Annex,9 Oakleigh,Lancing,West Sussex,BN15 9BN,01448-211489,01929-400879,berry@gmail.com,http://www.budgetannex.co.uk,Berry Gutoski,gmail.com,7,True
Elsa,Delisle,Taos Valley Resort Assn,260 Saxon St,Brooklands Ward,Greater Manchester,M33 4BP,01537-525550,01204-471598,elsa_delisle@gmail.com,http://www.taosvalleyresortassn.co.uk,Elsa Delisle,gmail.com,15,True
Graham,Stanwick,Tiburon Pen Chmbr Commrce Inc,73 Hawkstone St,Renfrew South & Gallowhill War,Dunbartonshire,G52 4YG,01860-191930,01409-786106,gstanwick@gmail.com,http://www.tiburonpenchmbrcommrceinc.co.uk,Graham Stanwick,gmail.com,30,True
Lisbeth,Creecy,"Gerstenfeld, Gerald F Esq",484 Barry St,Shiney Row Ward,County Durham,DH4 7RG,01931-620849,01825-623398,lcreecy@gmail.com,http://www.gerstenfeldgeraldfesq.co.uk,Lisbeth Creecy,gmail.com,15,True
Alyssa,Ansbro,"Berg, Michael D Esq",85 Hero St,Stanhope,County Durham,DL13 2TZ,01632-887825,01585-967862,alyssa_ansbro@gmail.com,http://www.bergmichaeldesq.co.uk,Alyssa Ansbro,gmail.com,8,True
Kyoko,Mcmillian,Nature Conservancy,77 Reading St #8,North Tawton,Devon,EX20 2TR,01235-173362,01371-735347,kyoko_mcmillian@gmail.com,http://www.natureconservancy.co.uk,Kyoko Mcmillian,gmail.com,12,True
Lashawn,Ker,"Thornsjo, Dale O Esq",13 Nelson Rd,Filwood Ward,Bristol,BS4 1HT,01676-780022,01470-187069,lashawn.ker@gmail.com,http://www.thornsjodaleoesq.co.uk,Lashawn Ker,gmail.com,12,True
Whitney,Tishler,Clifford Standifer & Mcdowell,77 Mason St #650,Smallbridge and Firgrove Ward,Greater Manchester,OL16 3AW,01224-605237,01948-891701,whitney@gmail.com,http://www.cliffordstandifermcdowell.co.uk,Whitney Tishler,gmail.com,29,True
Frankie,Marruffo,Paralegal Personnel,52 Morningside Rd #1,Cilybebyll Community,Neath Port Talbot,SA8 3HE,01295-678319,01966-999493,fmarruffo@gmail.com,http://www.paralegalpersonnel.co.uk,Frankie Marruffo,gmail.com,20,True
Paola,Dease,Sunderland Publishing Co,94 Enid St,Birchington,Kent,CT7 9BG,01333-642646,01419-231768,pdease@gmail.com,http://www.sunderlandpublishingco.co.uk,Paola Dease,gmail.com,11,True
Luther,Alsman,Crossroads Travel Service Inc,227 Albert Terrace,Belvedere Ward,Greater London,DA17 6EF,01536-639256,01494-500403,luther@gmail.com,http://www.crossroadstravelserviceinc.co.uk,Luther Alsman,gmail.com,14,True
Melissia,Slotemaker,Twining Nemia & Steflik,83 St Johns Lane #43,Linlithgow Ward,West Lothian,EH49 7LS,01515-360513,01936-295031,mslotemaker@gmail.com,http://www.twiningnemiasteflik.co.uk,Melissia Slotemaker,gmail.com,15,True
Odette,Moussette,Village Business Center,216 Lissant St #8,Great Dunmow,Essex,CM6 1DQ,01712-248851,01626-260974,odette_moussette@gmail.com,http://www.villagebusinesscenter.co.uk,Odette Moussette,gmail.com,12,True
Hobert,Panfilov,"Carlin, Angela G Esq",92 Phythian St #614,Gweek,Cornwall,TR11 5RR,01245-353227,01518-554407,hobert@gmail.com,http://www.carlinangelagesq.co.uk,Hobert Panfilov,gmail.com,5,True
Desire,Barresi,Greater Cinc Schl Empl Crdt Un,428 Kearsley St,Hatton,Warwickshire,CV35 7UA,01819-701096,01970-482055,desire@gmail.com,http://www.greatercincschlemplcrdtun.co.uk,Desire Barresi,gmail.com,6,True
Nathan,Outhouse,Grt Amercn Fed Svngs & Ln Assn,293 Vivian St,South Jesmond Ward,Tyne and Wear,NE2 1EY,01555-702650,01364-499130,nathan.outhouse@gmail.com,http://www.grtamercnfedsvngslnassn.co.uk,Nathan Outhouse,gmail.com,18,True
