first_name,last_name,company_name,address,city,county,postal,phone1,phone2,email,web,full_name,email_domain,city_length,is_gmail,company_word_count
Aleshia,Tomkiewicz,Alan D Rosenburg Cpa Pc,14 Taylor St,St. Stephens Ward,Kent,CT2 7PP,01835-703597,01944-369967,atomkiewicz@hotmail.com,http://www.alandrosenburgcpapc.co.uk,Aleshia Tomkiewicz,hotmail.com,17,False,5
Evan,Zigomalas,Cap Gemini America,5 Binney St,Abbey Ward,Buckinghamshire,HP11 2AX,01937-864715,01714-737668,evan.zigomalas@gmail.com,http://www.capgeminiamerica.co.uk,Evan Zigomalas,gmail.com,10,True,3
France,Andrade,"Elliott, John W Esq",8 Moor Place,East Southbourne and Tuckton W,Bournemouth,BH6 3BE,01347-368222,01935-821636,france.andrade@hotmail.com,http://www.elliottjohnwesq.co.uk,France Andrade,hotmail.com,30,False,4
Ulysses,Mcwalters,"Mcmahan, Ben L",505 Exeter Rd,Hawerby cum Beesby,Lincolnshire,DN36 5RP,01912-771311,01302-601380,ulysses@hotmail.com,http://www.mcmahanbenl.co.uk,Ulysses Mcwalters,hotmail.com,18,False,3
Tyisha,Veness,Champagne Room,5396 Forth Street,Greets Green and Lyng Ward,West Midlands,B70 9DT,01547-429341,01290-367248,tyisha.veness@hotmail.com,http://www.champagneroom.co.uk,Tyisha Veness,hotmail.com,26,False,2
Eric,Rampy,"Thompson, Michael C Esq",9472 Lind St,Desborough,Northamptonshire,NN14 2GH,01969-886290,01545-817375,erampy@rampy.co.uk,http://www.thompsonmichaelcesq.co.uk,Eric Rampy,rampy.co.uk,10,False,4
Marg,Grasmick,Wrangle Hill Auto Auct & Slvg,7457 Cowl St #70,Bargate Ward,Southampton,SO14 3TY,01865-582516,01362-620532,marg@hotmail.com,http://www.wranglehillautoauctslvg.co.uk,Marg Grasmick,hotmail.com,12,False,6
Laquita,Hisaw,In Communications Inc,20 Gloucester Pl #96,Chirton Ward,Tyne & Wear,NE29 7AD,01746-394243,01590-982428,laquita@yahoo.com,http://www.incommunicationsinc.co.uk,Laquita Hisaw,yahoo.com,12,False,3
Lura,Manzella,Bizerba Usa Inc,929 Augustine St,Staple Hill Ward,South Gloucestershire,BS16 4LL,01907-538509,01340-713951,lura@hotmail.com,http://www.bizerbausainc.co.uk,Lura Manzella,hotmail.com,16,False,3
Yuette,Klapec,Max Video,45 Bradfield St #166,Parwich,Derbyshire,DE6 1QN,01903-649460,01933-512513,yuette.klapec@klapec.co.uk,http://www.maxvideo.co.uk,Yuette Klapec,klapec.co.uk,7,False,2
Fernanda,Writer,K & R Associates Inc,620 Northampton St,Wilmington,Kent,DA2 7PP,01630-202053,01687-879391,fernanda@writer.co.uk,http://www.krassociatesinc.co.uk,Fernanda Writer,writer.co.uk,10,False,5
Charlesetta,Erm,"Cain, John M Esq",5 Hygeia St,Loundsley Green Ward,Derbyshire,S40 4LY,01276-816806,01517-624517,charlesetta_erm@gmail.com,http://www.cainjohnmesq.co.uk,Charlesetta Erm,gmail.com,20,True,4
Corrinne,Jaret,Sound Vision Corp,2150 Morley St,Dee Ward,Dumfries and Galloway,DG8 7DE,01625-932209,01642-322954,corrinne_jaret@gmail.com,http://www.soundvisioncorp.co.uk,Corrinne Jaret,gmail.com,8,True,3
Niesha,Bruch,Rowley/hansell Petetin,24 Bolton St,"Broxburn, Uphall and Winchburg",West Lothian,EH52 5TL,01874-856950,01342-793603,niesha.bruch@yahoo.com,http://www.rowleyhansellpetetin.co.uk,Niesha Bruch,yahoo.com,30,False,2
Rueben,Gastellum,Industrial Engineering Assocs,4 Forrest St,Weston-Super-Mare,North Somerset,BS23 3HG,01976-755279,01956-535511,rueben_gastellum@gastellum.co.uk,http://www.industrialengineeringassocs.co.uk,Rueben Gastellum,gastellum.co.uk,17,False,3
Michell,Throssell,Weiss Spirt & Guyer,89 Noon St,Carbrooke,Norfolk,IP25 6JQ,01967-580851,01672-496478,mthrossell@throssell.co.uk,http://www.weissspirtguyer.co.uk,Michell Throssell,throssell.co.uk,9,False,4
Edgar,Kanne,"Crowan, Kenneth W Esq",99 Guthrie St,New Milton,Hampshire,BH25 5DF,01326-532337,01666-638176,edgar.kanne@yahoo.com,http://www.crowankennethwesq.co.uk,Edgar Kanne,yahoo.com,10,False,4
Dewitt,Julio,Rittenhouse Motor Co,7 Richmond St,Parkham,Devon,EX39 5DJ,01253-528327,01241-964675,dewitt.julio@hotmail.com,http://www.rittenhousemotorco.co.uk,Dewitt Julio,hotmail.com,7,False,3
Charisse,Spinello,Modern Plastics Corp,9165 Primrose St,Darnall Ward,"Yorkshire, South",S4 7WN,01719-831436,01207-428520,charisse_spinello@spinello.co.uk,http://www.modernplasticscorp.co.uk,Charisse Spinello,spinello.co.uk,12,False,3
Mee,Lapinski,Galloway Electric Co Inc,9 Pengwern St,Marldon,Devon,TQ3 1SA,01578-287816,01939-815208,mee.lapinski@yahoo.com,http://www.gallowayelectriccoinc.co.uk,Mee Lapinski,yahoo.com,7,False,4
Peter,Gutierres,Niagara Custombuilt Mfg Co,4410 Tarlton St,Prestatyn Community,Denbighshire,LL19 9EG,01842-767201,01859-648598,peter_gutierres@yahoo.com,http://www.niagaracustombuiltmfgco.co.uk,Peter Gutierres,yahoo.com,19,False,4
Octavio,Salvadore,Practical Periphrals,6949 Bourne St,Lye and Stourbridge North Ward,West Midlands,DY5 2QP,01552-709248,01743-139456,octavio.salvadore@yahoo.com,http://www.practicalperiphrals.co.uk,Octavio Salvadore,yahoo.com,30,False,2
Martha,Teplica,"Curtin, Patricia M Esq",148 Rembrandt St,Warlingham,Surrey,CR6 9SW,01677-684257,01583-287367,mteplica@teplica.co.uk,http://www.curtinpatriciamesq.co.uk,Martha Teplica,teplica.co.uk,10,False,4
Tamesha,Veigel,"Wilhelm, James E Jr",2200 Nelson St #58,Newport,Isle of Wight,PO30 5AL,01217-342071,01280-786847,tveigel@veigel.co.uk,http://www.wilhelmjamesejr.co.uk,Tamesha Veigel,veigel.co.uk,7,False,4
Tess,Sitra,Smart Signs,61 Rossett St,Chichester,West Sussex,PO19 1RH,01473-229124,01848-116775,tess_sitra@hotmail.com,http://www.smartsigns.co.uk,Tess Sitra,hotmail.com,10,False,2
Leonard,Kufner,Arctic Star Distributing Inc,41 Canning St,Steornabhagh a Deas Ward,Western Isles,HS1 2PZ,01230-623547,01604-718601,lkufner@kufner.co.uk,http://www.arcticstardistributinginc.co.uk,Leonard Kufner,kufner.co.uk,24,False,4
Svetlana,Tauras,"Lensbower, Gregory L Esq",8289 Cadogan St,South Ward,North Eart Lincolnshire,DN33 1AU,01781-827317,01509-121140,svetlana_tauras@tauras.co.uk,http://www.lensbowergregorylesq.co.uk,Svetlana Tauras,tauras.co.uk,10,False,4
Pok,Molaison,Portal Metal Products,211 Hobart St,Newquay,Cornwall,TR7 1LS,01866-248660,01315-284286,pok@yahoo.com,http://www.portalmetalproducts.co.uk,Pok Molaison,yahoo.com,7,False,3
Augustine,Growcock,"Lynema, Cliff Cpa",114 Falkland St #8845,Brimpton,Berkshire,RG7 4RF,01541-802635,01926-108010,augustine.growcock@growcock.co.uk,http://www.lynemacliffcpa.co.uk,Augustine Growcock,growcock.co.uk,8,False,3
Karma,Quarto,J C S Machinery,1 Birkett St,Shard End Ward,West Midlands,B33 0NH,01857-864722,01307-667811,kquarto@gmail.com,http://www.jcsmachinery.co.uk,Karma Quarto,gmail.com,14,True,4
Reed,Weisinger,"Berick, Joseph G Esq",5147 Blackstone St,Letchworth South West Ward,Hertfordshire,SG6 3LE,01243-678286,01292-297245,reed_weisinger@yahoo.com,http://www.berickjosephgesq.co.uk,Reed Weisinger,yahoo.com,26,False,4
German,Zelaya,Jackson & Heit Machine Co Inc,7 Shenstone St,Longhill Ward,"Yorkshire, East (North Humbers",HU8 9PZ,01400-269033,01366-210656,german@hotmail.com,http://www.jacksonheitmachinecoinc.co.uk,German Zelaya,hotmail.com,13,False,6
Milly,Savidge,Bridgeway Plan For Health,129 Alexander Pope St,Franche Ward,Hereford and Worcester,DY11 9BW,01702-725589,01421-132652,milly@gmail.com,http://www.bridgewayplanforhealth.co.uk,Milly Savidge,gmail.com,12,True,4
Luis,Ear,Wa Inst For Plcy Studies,2 Birchfield Rd,Whittington,Shropshire,SY11 4PH,01462-648669,01405-648623,luis@hotmail.com,http://www.wainstforplcystudies.co.uk,Luis Ear,hotmail.com,11,False,5
Ciara,Cobbley,Wmgl 101.7 Fm,7523 Kempton Rd,Cockerton West Ward,Darlington,DL3 0JF,01235-647932,01809-443217,ciara_cobbley@hotmail.com,http://www.wmglfm.co.uk,Ciara Cobbley,hotmail.com,19,False,3
Alethea,Mould,"Hughlett, Henry T Jr",6305 Elstow St,Castle Ward,West Sussex,BN12 6PR,01662-114247,01351-868965,alethea@hotmail.com,http://www.hughletthenrytjr.co.uk,Alethea Mould,hotmail.com,11,False,4
Margurite,Loperfido,Penrose Place Pharmacy Inc,218 Greenbank Drive,Devizes,Wiltshire,SN10 3DU,01407-866759,01640-661191,mloperfido@gmail.com,http://www.penroseplacepharmacyinc.co.uk,Margurite Loperfido,gmail.com,7,True,4
Vernice,Sperazza,"Novak, Alan Paul Esq",8921 Forge St,Colnbrook with Poyle,Buckinghamshire,SL3 0PY,01822-563044,01765-519419,vernice@yahoo.com,http://www.novakalanpaulesq.co.uk,Vernice Sperazza,yahoo.com,20,False,4
Vicente,Rawicki,B & S Tool And Cutter Svc Inc,3060 St Ambrose Grove #261,Aldridge Central and South War,West Midlands,WS9 8UR,01327-770774,01286-258121,vicente_rawicki@hotmail.com,http://www.bstoolandcuttersvcinc.co.uk,Vicente Rawicki,hotmail.com,30,False,8
Craig,Cua,"Berry, John M Esq",8388 Bessemer St #5,East Putney Ward,Greater London,SW15 2RP,01483-418969,01818-980469,craig@hotmail.com,http://www.berryjohnmesq.co.uk,Craig Cua,hotmail.com,16,False,4
Jenise,Dulle,"Alden, Michael H Esq",87 Pownall Sq,Sawston,Cambridgeshire,CB22 3BB,01709-854691,01572-193368,jenise.dulle@hotmail.com,http://www.aldenmichaelhesq.co.uk,Jenise Dulle,hotmail.com,7,False,4
Marylin,Cornelison,Ernest E Heuer & Company Pc,39 Wye St,Wakefield North Ward,West Yorkshire,WF1 1DR,01609-882184,01295-331807,marylin_cornelison@yahoo.com,http://www.ernesteheuercompanypc.co.uk,Marylin Cornelison,yahoo.com,20,False,6
Marget,Gunst,"Frankel, Stephen",2732 Bostock St #1,St. Enoder,Cornwall,TR9 6NJ,01693-310794,01512-975244,mgunst@yahoo.com,http://www.frankelstephen.co.uk,Marget Gunst,yahoo.com,10,False,2
Annett,Bunselmeyer,Guynes Design Inc,5562 Fairfield St #847,Ryde,Isle of Wight,PO33 1HH,01891-702579,01333-972244,abunselmeyer@hotmail.com,http://www.guynesdesigninc.co.uk,Annett Bunselmeyer,hotmail.com,4,False,3
Kip,Turziano,General Appraisal Co,37 Meadow St,Laindon Park Ward,Essex,SS15 6LE,01850-347846,01222-164469,kip.turziano@yahoo.com,http://www.generalappraisalco.co.uk,Kip Turziano,yahoo.com,17,False,3
Melina,Orizabal,Sheraton Inn Ocean Front,3 Nevison St,Lymington and Pennington,Hampshire,SO41 1DL,01420-307327,01245-559333,melina@gmail.com,http://www.sheratoninnoceanfront.co.uk,Melina Orizabal,gmail.com,24,True,4
Tina,Clapham,Cooper Myers Y Co,5662 William Moult St,Aylesbury,Buckinghamshire,HP21 8PP,01567-296442,01493-245349,tclapham@gmail.com,http://www.coopermyersyco.co.uk,Tina Clapham,gmail.com,9,True,4
Luisa,Devereux,Cash 4 Checks,3 North View #35,Burmantofts and Richmond Hill,West Yorkshire,LS9 7JH,01607-269930,01334-807355,ldevereux@gmail.com,http://www.cashchecks.co.uk,Luisa Devereux,gmail.com,29,True,3
Pedro,Aschoff,Charlotte Chamber,135 Opie St,Howard Town Ward,Derbyshire,SK13 8BB,01386-981141,01823-517315,paschoff@yahoo.com,http://www.charlottechamber.co.uk,Pedro Aschoff,yahoo.com,16,False,2
Carrol,Kunimitsu,Kisc 98 Kiss Fm,1 Askew St,Farnham,Surrey,GU9 9AS,01260-641258,01415-364461,carrol_kunimitsu@yahoo.com,http://www.kisckissfm.co.uk,Carrol Kunimitsu,yahoo.com,7,False,4
Alba,Mosseri,"Schwartzbard, Gail L Esq",4 Burnall St,Beeston West Ward,Nottinghamshire,NG9 1AE,01543-198690,01231-806535,alba@gmail.com,http://www.schwartzbardgaillesq.co.uk,Alba Mosseri,gmail.com,17,True,4
Domonique,Sandlin,Marketing Horizons Inc,95 Denton St,Wollaton West Ward,Nottinghamshire,NG8 2NB,01355-500797,01987-728730,domonique@hotmail.com,http://www.marketinghorizonsinc.co.uk,Domonique Sandlin,hotmail.com,18,False,3
Rory,Neufville,"Brady, Brad J Esq",5 Chadwick St #7,Llangeler Community,Ceredigion,SA44 5HF,01252-621329,01442-700486,rory_neufville@neufville.co.uk,http://www.bradybradjesq.co.uk,Rory Neufville,neufville.co.uk,19,False,4
Dustin,Klingaman,Welders Supply,67 Micawber St,Brockley Ward,Greater London,SE14 6RQ,01712-135466,01523-775781,dklingaman@gmail.com,http://www.welderssupply.co.uk,Dustin Klingaman,gmail.com,13,True,2
Lyndia,Moonshower,Bomarko Inc,43 Williamson St #7995,Meads Ward,East Sussex,BN20 7HB,01469-300335,01789-132579,lyndia_moonshower@moonshower.co.uk,http://www.bomarkoinc.co.uk,Lyndia Moonshower,moonshower.co.uk,10,False,2
Jules,Hiltner,"Benitez, Brigida Esq",5 Howe St,"Broxburn, Uphall and Winchburg",West Lothian,EH52 6NF,01428-343825,01814-878359,jules@yahoo.com,http://www.benitezbrigidaesq.co.uk,Jules Hiltner,yahoo.com,30,False,3
Dong,Kopczynski,Kennedy Scales Inc,7 Cheapside #9,St. Ive,Cornwall,PL14 5PA,01770-129032,01639-518104,dkopczynski@kopczynski.co.uk,http://www.kennedyscalesinc.co.uk,Dong Kopczynski,kopczynski.co.uk,7,False,3
Justine,Salta,Barajas & Bustamante Archl,85 Bridgewater St,Shard End Ward,West Midlands,B34 7BP,01689-253476,01376-851958,justine_salta@yahoo.com,http://www.barajasbustamantearchl.co.uk,Justine Salta,yahoo.com,14,False,4
Chantay,Kamens,Brewster Wallcoverings Co,763 Parkfield Rd,Norton Canes,Staffordshire,WS11 9RH,01823-383806,01245-146126,ckamens@hotmail.com,http://www.brewsterwallcoveringsco.co.uk,Chantay Kamens,hotmail.com,12,False,3
Tequila,Chisum,Bohs Well Drilling Inc,662 Grove Park,Bulwell Ward,Nottinghamshire,NG6 8RG,01835-634521,01702-946496,tequila.chisum@chisum.co.uk,http://www.bohswelldrillinginc.co.uk,Tequila Chisum,chisum.co.uk,12,False,4
Maybelle,Consolazio,"Gavin, Lee W Esq",5410 Lawton St,Treorchy Community,Rhondda Cynon Taff,CF42 6PL,01383-647035,01351-200904,mconsolazio@yahoo.com,http://www.gavinleewesq.co.uk,Maybelle Consolazio,yahoo.com,18,False,4
Margarett,Bairo,"Reid, Carleton B Esq",3 August Rd,Maybury and Sheerwater Ward,Surrey,GU21 5QL,01670-813697,01903-424890,margarett@gmail.com,http://www.reidcarletonbesq.co.uk,Margarett Bairo,gmail.com,27,True,4
